TEAM_NAME,W,L,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT
Atlanta Hawks,41,41,375.8,4.0,1.2,2.3,0.513,0.4,0.6,0.72,2.8,0.704,0.9,0.211,0.2,0.057,0.3,0.066,0.3,0.076
Boston Celtics,57,25,397.7,3.8,0.9,1.7,0.529,0.5,0.6,0.808,2.4,0.621,1.4,0.363,0.3,0.068,0.3,0.068,0.3,0.084
Brooklyn Nets,45,37,395.5,3.2,0.7,1.4,0.504,0.3,0.4,0.824,1.8,0.553,1.3,0.417,0.3,0.098,0.2,0.049,0.2,0.064
Charlotte Hornets,27,55,409.4,4.1,0.9,1.9,0.471,0.4,0.6,0.596,2.2,0.543,1.5,0.363,0.3,0.083,0.2,0.038,0.3,0.077
Chicago Bulls,39,42,405.9,8.7,2.2,3.9,0.561,0.7,0.9,0.768,5.3,0.608,3.8,0.432,0.6,0.072,0.3,0.036,0.4,0.05
Cleveland Cavaliers,51,31,387.2,4.2,0.9,2.2,0.435,0.4,0.6,0.75,2.3,0.554,1.2,0.287,0.4,0.096,0.3,0.075,0.3,0.07
Dallas Mavericks,38,44,389.0,5.9,1.6,2.8,0.573,1.0,1.4,0.754,4.3,0.73,1.9,0.322,0.3,0.054,0.3,0.056,0.7,0.118
Denver Nuggets,53,29,413.7,11.8,2.5,4.5,0.569,1.5,1.9,0.787,6.9,0.581,4.9,0.415,1.2,0.103,0.7,0.061,0.9,0.079
Detroit Pistons,17,64,386.6,5.4,1.2,2.8,0.409,0.7,0.9,0.776,3.1,0.574,1.3,0.245,0.2,0.043,0.5,0.095,0.5,0.086
Golden State Warriors,43,38,446.5,4.5,0.6,1.2,0.495,0.1,0.2,0.688,1.4,0.314,2.7,0.595,0.7,0.154,0.2,0.055,0.1,0.022
Houston Rockets,22,60,410.8,6.3,1.5,2.9,0.543,0.6,0.8,0.823,3.8,0.596,2.2,0.342,0.4,0.069,0.5,0.073,0.4,0.06
Indiana Pacers,35,47,428.8,2.7,0.8,1.6,0.489,0.5,0.7,0.714,2.1,0.768,0.5,0.174,0.1,0.036,0.1,0.045,0.3,0.125
LA Clippers,44,38,392.6,6.5,1.9,3.4,0.56,0.7,0.9,0.833,4.6,0.709,2.0,0.316,0.4,0.064,0.4,0.06,0.4,0.068
Los Angeles Lakers,43,39,380.4,7.7,1.9,3.8,0.486,1.1,1.4,0.804,4.9,0.631,2.6,0.34,0.5,0.066,0.3,0.033,0.7,0.088
Memphis Grizzlies,51,31,397.6,3.9,1.2,2.0,0.565,0.5,0.7,0.721,2.9,0.739,0.9,0.236,0.2,0.05,0.4,0.091,0.4,0.094
Miami Heat,44,38,410.4,5.5,1.2,2.6,0.463,0.5,0.6,0.792,3.0,0.545,2.0,0.364,0.4,0.067,0.3,0.053,0.3,0.06
Milwaukee Bucks,58,24,396.2,9.2,2.3,4.5,0.511,1.1,1.3,0.813,5.8,0.627,2.9,0.317,0.8,0.086,0.6,0.067,0.6,0.07
Minnesota Timberwolves,41,40,421.6,4.8,1.0,1.9,0.497,0.6,0.8,0.721,2.6,0.533,1.7,0.362,0.4,0.09,0.4,0.079,0.4,0.087
New Orleans Pelicans,42,40,419.1,8.1,2.0,3.7,0.534,1.0,1.4,0.739,5.1,0.633,2.5,0.315,0.6,0.072,0.8,0.093,0.7,0.083
New York Knicks,47,35,390.6,5.6,1.2,2.4,0.492,0.8,1.1,0.736,3.2,0.57,2.1,0.378,0.5,0.089,0.3,0.061,0.5,0.096
Oklahoma City Thunder,40,42,403.1,2.3,0.4,0.9,0.473,0.4,0.4,0.912,1.3,0.562,0.9,0.389,0.2,0.092,0.2,0.086,0.2,0.092
Orlando Magic,34,48,389.2,4.1,0.8,1.7,0.448,0.5,0.7,0.778,2.1,0.524,1.6,0.384,0.3,0.08,0.2,0.057,0.3,0.08
Philadelphia 76ers,54,28,402.3,8.6,2.1,4.0,0.532,1.3,1.5,0.835,5.7,0.669,3.0,0.356,0.6,0.074,0.3,0.038,0.8,0.09
Phoenix Suns,45,37,399.1,7.1,2.1,3.9,0.53,0.6,0.8,0.758,4.9,0.683,2.0,0.275,0.3,0.048,0.4,0.056,0.4,0.056
Portland Trail Blazers,33,48,396.3,6.0,1.2,2.6,0.479,0.7,0.9,0.724,3.2,0.535,2.2,0.361,0.5,0.08,0.4,0.073,0.5,0.078
Sacramento Kings,48,34,420.9,6.0,1.2,2.2,0.536,0.8,1.0,0.747,3.2,0.536,2.5,0.423,0.7,0.112,0.4,0.07,0.5,0.084
San Antonio Spurs,21,58,414.1,6.4,1.5,2.9,0.513,0.7,0.9,0.722,3.8,0.59,2.1,0.335,0.4,0.057,0.6,0.087,0.5,0.071
Toronto Raptors,41,41,413.3,7.8,1.8,3.4,0.511,0.7,1.0,0.723,4.3,0.548,3.0,0.389,0.7,0.089,0.4,0.055,0.5,0.064
Utah Jazz,37,45,395.5,3.0,0.6,1.3,0.463,0.3,0.4,0.75,1.6,0.524,1.0,0.341,0.3,0.106,0.2,0.081,0.2,0.065
Washington Wizards,35,47,406.3,5.6,1.6,2.9,0.545,0.8,1.1,0.77,4.1,0.732,1.6,0.294,0.4,0.063,0.3,0.061,0.5,0.094
